State Name,State ID,%Mem22,%Mem21,%Mem20,%Mem19,%Mem18,%Mem17,%Mem16,%Mem15,%Mem14,%Mem13,%Mem12,%Mem11,%Mem10,%Mem09,%Mem08
All States,―,10.1,10.3,10.9,10.4,10.6,10.8,10.8,11.1,11.2,11.3,11.3,11.9,12.0,12.4,12.5
Alabama,63,7.2,6.0,8.0,8.6,9.3,7.4,8.2,10.3,10.8,10.8,9.3,10.0,10.2,10.9,9.8
Alaska,94,16.0,15.7,17.7,17.3,18.4,18.0,18.5,19.7,22.7,23.0,22.5,22.2,23.2,22.4,23.7
Arizona,86,5.5,5.4,5.3,5.8,5.4,4.0,4.5,5.2,5.3,5.0,5.2,6.0,6.4,6.6,8.8
Arkansas,71,4.9,3.9,4.7,5.2,4.9,5.1,4.0,5.2,4.8,3.6,3.2,4.3,4.1,4.3,6.0
California,93,16.1,16.0,16.4,15.4,14.9,15.7,16.1,16.1,16.6,16.7,17.4,17.4,17.8,17.4,18.6
Colorado,84,6.7,6.6,7.5,9.2,11.1,9.6,9.9,8.5,9.5,7.5,7.9,8.2,6.6,7.1,8.1
Connecticut,16,14.2,14.6,17.1,14.6,16.0,17.0,17.6,17.0,14.8,13.5,14.1,16.8,16.7,17.3,17.0
Delaware,51,8.5,9.8,9.8,8.8,10.3,10.9,11.6,9.3,9.9,10.4,10.6,10.5,11.5,12.0,13.5
District of Columbia,53,9.1,8.9,8.6,9.3,9.9,9.7,9.5,10.4,8.6,9.3,8.6,8.4,9.0,10.4,12.2
Florida,59,4.5,5.2,6.5,6.3,5.6,5.6,5.7,6.9,5.7,5.4,5.8,6.4,5.6,5.8,6.4
Georgia,58,4.4,4.8,4.7,4.1,4.5,4.0,3.9,4.1,4.4,5.3,4.4,4.0,4.0,4.6,3.7
Hawaii,95,21.9,22.6,23.7,23.7,23.3,21.5,19.7,20.5,21.9,22.2,21.9,21.6,21.8,23.5,24.4
Idaho,82,4.7,4.8,5.8,5.2,4.9,5.0,6.3,7.0,5.5,4.7,4.9,5.3,7.4,6.4,7.2
Illinois,33,13.1,14.0,14.3,13.7,13.9,15.0,14.6,15.3,15.2,15.8,14.7,16.3,15.6,17.5,16.6
Indiana,32,7.4,9.0,8.3,8.3,8.9,9.0,10.5,10.1,10.8,9.4,9.2,11.3,11.0,10.7,12.5
Iowa,42,7.0,6.6,6.7,6.4,7.8,7.2,9.2,9.7,10.9,10.2,10.5,11.4,11.5,11.2,10.7
Kansas,47,9.8,9.3,9.0,8.8,7.2,7.9,8.6,8.8,7.5,7.6,6.9,7.7,6.9,6.2,7.1
