x,state_cens,state,sector,nobs,empl,member,covered,pctmem,pctcov,state2,year,id,pctmem100,pctcov100
,11.0,Maine,Priv. Construction,85.0,16917.986666666668,2207.3308333333334,2420.31,0.13047244,0.14306135,ME,1983.0,1.0,13.047244,14.306135
,11.0,Maine,Priv. Construction,93.0,20170.485833333325,2207.7741666666666,2207.7741666666666,0.109455675,0.109455675,ME,1984.0,1.0,10.945567,10.945567
,11.0,Maine,Priv. Construction,95.0,23411.725833333338,2490.9525000000003,2787.8625,0.10639764,0.119079754,ME,1985.0,1.0,10.639765,11.907975
,11.0,Maine,Priv. Construction,89.0,22873.157499999994,1917.4616666666666,1917.4616666666666,0.083830215,0.083830215,ME,1986.0,1.0,8.383021,8.383021
,11.0,Maine,Priv. Construction,114.0,28033.174166666664,3377.062500000001,3377.062500000001,0.12046665,0.12046665,ME,1987.0,1.0,12.046665,12.046665
,11.0,Maine,Priv. Construction,117.0,30535.289999999997,2734.355,2976.2108333333335,0.08954737,0.09746791,ME,1988.0,1.0,8.954738,9.746791
,11.0,Maine,Priv. Construction,119.0,30998.330833333326,1531.7,1531.7,0.049412336,0.049412336,ME,1989.0,1.0,4.9412336,4.9412336
,11.0,Maine,Priv. Construction,109.0,29471.676666666663,1959.82,1959.82,0.06649842,0.06649842,ME,1990.0,1.0,6.6498423,6.6498423
,11.0,Maine,Priv. Construction,78.0,22490.899166666662,2024.9016666666666,2279.253333333333,0.09003205,0.101341136,ME,1991.0,1.0,9.003205,10.134113
,11.0,Maine,Priv. Construction,62.0,19440.281666666666,262.0466666666667,904.1266666666667,0.013479572,0.0465079,ME,1992.0,1.0,1.3479571,4.6507897
,11.0,Maine,Priv. Construction,59.0,17021.60916666666,734.7975,734.7975,0.04316851,0.04316851,ME,1993.0,1.0,4.316851,4.316851
,11.0,Maine,Priv. Construction,55.0,16919.599358333337,707.2949833333333,707.2949833333333,0.041803293,0.041803293,ME,1994.0,1.0,4.1803293,4.1803293
,11.0,Maine,Priv. Construction,57.0,17311.56953333333,543.747475,543.747475,0.031409483,0.031409483,ME,1995.0,1.0,3.1409483,3.1409483
,11.0,Maine,Priv. Construction,86.0,27921.784508333334,818.0460583333333,818.0460583333333,0.029297771,0.029297771,ME,1996.0,1.0,2.9297771,2.9297771
,11.0,Maine,Priv. Construction,82.0,26906.417391666666,1885.899875,1885.899875,0.07009108,0.07009108,ME,1997.0,1.0,7.0091085,7.0091085
,11.0,Maine,Priv. Construction,74.0,23274.096724999996,1022.1781333333333,1293.7554166666666,0.04391913,0.055587783,ME,1998.0,1.0,4.391913,5.5587783
,11.0,Maine,Priv. Construction,81.0,26588.328566666663,2936.5296083333333,3278.276925,0.11044431,0.123297594,ME,1999.0,1.0,11.044431,12.32976
,11.0,Maine,Priv. Construction,97.0,32630.08240833335,3711.748716666667,4452.372966666666,0.11375236,0.13644995,ME,2000.0,1.0,11.375236,13.644995
,11.0,Maine,Priv. Construction,150.0,36287.23904999999,2666.97775,2666.97775,0.0734963,0.0734963,ME,2001.0,1.0,7.34963,7.34963
,11.0,Maine,Priv. Construction,174.0,34179.83595833334,1626.3307666666667,1626.3307666666667,0.047581583,0.047581583,ME,2002.0,1.0,4.758158,4.758158
,11.0,Maine,Priv. Construction,152.0,28681.509316666674,2619.259425,2619.259425,0.09132223,0.09132223,ME,2003.0,1.0,9.132223,9.132223
,11.0,Maine,Priv. Construction,155.0,28509.799858333336,878.3229166666665,1032.6946666666665,0.030807754,0.036222447,ME,2004.0,1.0,3.0807755,3.6222446
,11.0,Maine,Priv. Construction,164.0,27619.198816666663,1700.950025,1887.7384833333333,0.061585784,0.06834878,ME,2005.0,1.0,6.1585784,6.834878
,11.0,Maine,Priv. Construction,172.0,29992.381366666665,1941.6968416666666,2115.640475,0.06473967,0.070539266,ME,2006.0,1.0,6.4739666,7.0539265
,11.0,Maine,Priv. Construction,169.0,31187.501925000008,1315.8549666666668,1315.8549666666668,0.04219174,0.04219174,ME,2007.0,1.0,4.219174,4.219174
,11.0,Maine,Priv. Construction,143.0,25941.819266666673,698.1332083333333,1209.5066166666666,0.026911497,0.046623815,ME,2008.0,1.0,2.6911497,4.6623816
,11.0,Maine,Priv. Construction,140.0,24023.330033333346,1022.826075,1690.5121916666667,0.042576365,0.0703696,ME,2009.0,1.0,4.2576365,7.03696
,11.0,Maine,Priv. Construction,130.0,21652.83950833334,1268.0129333333334,1268.0129333333334,0.058561046,0.058561046,ME,2010.0,1.0,5.8561044,5.8561044
,11.0,Maine,Priv. Construction,140.0,25645.973541666663,1551.8184500000002,1736.1245833333332,0.060509242,0.0676958,ME,2011.0,1.0,6.0509243,6.76958
,11.0,Maine,Priv. Construction,133.0,25016.054916666668,343.6477,343.6477,0.013737086,0.013737086,ME,2012.0,1.0,1.3737086,1.3737086
,11.0,Maine,Priv. Construction,109.0,22569.492641666664,699.1414000000001,1134.9243333333334,0.030977275,0.05028577,ME,2013.0,1.0,3.0977275,5.0285773
,11.0,Maine,Priv. Construction,100.0,24255.934575000007,1253.3904916666665,1253.3904916666665,0.05167356,0.05167356,ME,2014.0,1.0,5.167356,5.167356
,11.0,Maine,Priv. Construction,56.0,18801.095608333333,1068.5033500000002,1068.5033500000002,0.05683197,0.05683197,ME,2015.0,1.0,5.683197,5.683197
,11.0,Maine,Priv. Construction,55.0,22260.3101,1036.66085,1423.0845166666666,0.04656992,0.06392923,ME,2016.0,1.0,4.656992,6.392923
,11.0,Maine,Priv. Construction,66.0,28457.491716666653,0.0,0.0,0.0,0.0,ME,2017.0,1.0,0.0,0.0
,11.0,Maine,Priv. Construction,49.0,22338.36020833333,1763.8983749999998,1763.8983749999998,0.07896275,0.07896275,ME,2018.0,1.0,7.896275,7.896275
,11.0,Maine,Priv. Construction,55.0,28270.772066666672,1028.8239166666667,1028.8239166666667,0.036391787,0.036391787,ME,2019.0,1.0,3.6391788,3.6391788
,11.0,Maine,Priv. Construction,59.0,30004.533733333337,3140.37085,3140.37085,0.10466321,0.10466321,ME,2020.0,1.0,10.466321,10.466321
,11.0,Maine,Priv. Construction,48.0,27835.761416666657,2541.0358,2541.0358,0.091286734,0.091286734,ME,2021.0,1.0,9.128674,9.128674
,11.0,Maine,Priv. Construction,40.0,25318.84240000001,0.0,0.0,0.0,0.0,ME,2022.0,1.0,0.0,0.0
,11.0,Maine,Priv. Manufacturing,670.0,121360.0899999999,30076.97666666666,30814.055833333325,0.24783252,0.253906,ME,1983.0,2.0,24.783253,25.390602
,11.0,Maine,Priv. Manufacturing,635.0,124521.56000000003,32233.255833333318,34377.421666666654,0.25885683,0.27607605,ME,1984.0,2.0,25.885683,27.607605
,11.0,Maine,Priv. Manufacturing,485.0,112041.05250000003,29738.361666666664,32010.620000000003,0.2654238,0.28570437,ME,1985.0,2.0,26.542381,28.570438
,11.0,Maine,Priv. Manufacturing,440.0,112671.21333333332,30997.779166666674,33198.38250000001,0.27511713,0.29464832,ME,1986.0,2.0,27.511713,29.464832
,11.0,Maine,Priv. Manufacturing,442.0,109480.28666666686,30974.871666666666,33639.79083333334,0.28292647,0.30726802,ME,1987.0,2.0,28.292646,30.726803
,11.0,Maine,Priv. Manufacturing,464.0,116862.43666666672,26990.499166666665,29695.57249999999,0.23095958,0.2541071,ME,1988.0,2.0,23.095959,25.41071
