year,counts,state
2008,23,Alaska
2008,32,Alabama
2008,12,Arkansas
2008,35,Arizona
2008,352,California
2008,28,Colorado
2008,74,Connecticut
2008,31,District of Columbia
2008,12,Delaware
2008,71,Florida
2008,47,Georgia
2008,2,
2008,29,Hawaii
2008,23,Iowa
2008,4,Idaho
2008,238,Illinois
2008,72,Indiana
2008,32,Kansas
2008,39,Kentucky
2008,22,Louisiana
2008,92,Massachusetts
2008,41,Maryland
2008,7,Maine
2008,134,Michigan
2008,73,Minnesota
2008,94,Missouri
2008,22,Mississippi
2008,21,Montana
2008,26,North Carolina
2008,6,North Dakota
2008,16,Nebraska
2008,19,New Hampshire
2008,169,New Jersey
2008,19,New Mexico
2008,39,Nevada
2008,447,New York
2008,189,Ohio
2008,27,Oklahoma
2008,50,Oregon
2008,189,Pennsylvania
2008,44,Puerto Rico
2008,19,Rhode Island
2008,17,South Carolina
2008,6,South Dakota
2008,30,Tennessee
2008,75,Texas
2008,8,Utah
2008,36,Virginia
2008,8,
2008,4,Vermont
2008,132,Washington
2008,78,Wisconsin
2008,16,West Virginia
2008,8,Wyoming
2009,17,Alaska
2009,21,Alabama
2009,15,Arkansas
2009,31,Arizona
2009,422,California
2009,26,Colorado
2009,68,Connecticut
2009,64,District of Columbia
2009,10,Delaware
2009,62,Florida
2009,41,Georgia
2009,20,Hawaii
2009,28,Iowa
2009,11,Idaho
2009,172,Illinois
2009,64,Indiana
2009,19,Kansas
2009,15,Kentucky
2009,30,Louisiana
2009,91,Massachusetts
2009,54,Maryland
2009,10,Maine
2009,128,Michigan
2009,75,Minnesota
2009,61,Missouri
2009,21,Mississippi
2009,13,Montana
2009,18,North Carolina
2009,1,North Dakota
2009,5,Nebraska
2009,17,New Hampshire
2009,172,New Jersey
2009,16,New Mexico
2009,30,Nevada
2009,386,New York
2009,129,Ohio
2009,21,Oklahoma
2009,53,Oregon
2009,178,Pennsylvania
2009,48,Puerto Rico
2009,21,Rhode Island
2009,4,South Carolina
2009,3,South Dakota
2009,20,Tennessee
2009,62,Texas
2009,8,Utah
2009,52,Virginia
2009,7,
2009,4,Vermont
2009,121,Washington
2009,33,Wisconsin
2009,12,West Virginia
2009,7,Wyoming
2010,24,Alaska
2010,21,Alabama
2010,12,Arkansas
2010,19,Arizona
2010,386,California
2010,40,Colorado
2010,66,Connecticut
2010,36,District of Columbia
2010,6,Delaware
2010,87,Florida
2010,45,Georgia
2010,27,Hawaii
2010,27,Iowa
2010,5,Idaho
2010,196,Illinois
2010,59,Indiana
2010,12,Kansas
2010,29,Kentucky
2010,22,Louisiana
2010,83,Massachusetts
2010,149,Maryland
2010,4,Maine
2010,127,Michigan
2010,68,Minnesota
2010,45,Missouri
2010,11,Mississippi
2010,17,Montana
2010,16,North Carolina
2010,3,North Dakota
2010,4,Nebraska
2010,13,New Hampshire
2010,216,New Jersey
2010,17,New Mexico
2010,34,Nevada
2010,379,New York
2010,107,Ohio
2010,21,Oklahoma
2010,44,Oregon
2010,225,Pennsylvania
2010,39,Puerto Rico
2010,25,Rhode Island
2010,6,South Carolina
2010,3,South Dakota
2010,24,Tennessee
2010,102,Texas
2010,1,Utah
2010,49,Virginia
2010,7,
2010,7,Vermont
2010,115,Washington
2010,30,Wisconsin
2010,15,West Virginia
2010,1,Wyoming
2011,17,Alaska
2011,11,Alabama
2011,9,Arkansas
2011,27,Arizona
2011,321,California
2011,22,Colorado
2011,52,Connecticut
2011,35,District of Columbia
2011,12,Delaware
2011,71,Florida
2011,40,Georgia
2011,1,
2011,9,Hawaii
2011,15,Iowa
2011,6,Idaho
2011,171,Illinois
2011,50,Indiana
2011,14,Kansas
2011,36,Kentucky
2011,18,Louisiana
2011,71,Massachusetts
2011,83,Maryland
2011,3,Maine
2011,132,Michigan
2011,67,Minnesota
2011,47,Missouri
2011,16,Mississippi
2011,16,Montana
2011,19,North Carolina
2011,2,North Dakota
2011,3,Nebraska
2011,6,New Hampshire
2011,177,New Jersey
2011,10,New Mexico
2011,42,Nevada
2011,350,New York
2011,132,Ohio
2011,14,Oklahoma
2011,55,Oregon
2011,156,Pennsylvania
2011,23,Puerto Rico
2011,14,Rhode Island
2011,11,South Carolina
2011,2,South Dakota
2011,23,Tennessee
2011,58,Texas
2011,7,Utah
2011,61,Virginia
2011,6,
2011,106,Washington
2011,36,Wisconsin
2011,35,West Virginia
2011,4,Wyoming
2012,15,Alaska
2012,21,Alabama
2012,4,Arkansas
2012,23,Arizona
2012,311,California
2012,18,Colorado
2012,60,Connecticut
2012,37,District of Columbia
2012,4,Delaware
2012,48,Florida
2012,18,Georgia
2012,1,
2012,21,Hawaii
2012,20,Iowa
2012,10,Idaho
2012,172,Illinois
2012,45,Indiana
2012,12,Kansas
2012,33,Kentucky
2012,16,Louisiana
2012,76,Massachusetts
2012,47,Maryland
2012,8,Maine
2012,125,Michigan
2012,68,Minnesota
2012,80,Missouri
2012,5,Mississippi
2012,6,Montana
2012,17,North Carolina
2012,3,North Dakota
2012,10,Nebraska
2012,9,New Hampshire
2012,177,New Jersey
2012,16,New Mexico
2012,35,Nevada
2012,338,New York
2012,104,Ohio
2012,9,Oklahoma
2012,34,Oregon
2012,173,Pennsylvania
2012,43,Puerto Rico
2012,31,Rhode Island
2012,4,South Carolina
2012,2,South Dakota
2012,22,Tennessee
2012,73,Texas
2012,9,Utah
2012,45,Virginia
2012,2,
