year1,year,works_stoppage_beginning ,work_stoppage_in_effect,workers_beginning_in_period,workers_in_effect_during_period
1/1/08,2008,15,16,72200,82700
1/1/09,2009,5,5,12500,12500
1/1/10,2010,11,11,44500,44500
1/1/11,2011,19,19,112500,112500
1/1/12,2012,19,21,148100,150400
1/1/13,2013,15,15,54500,54500
1/1/14,2014,11,11,34300,34300
1/1/15,2015,12,13,47300,49000
1/1/16,2016,15,16,99400,101600
1/1/17,2017,7,7,25300,25300
1/1/18,2018,20,21,485200,487000
1/1/19,2019,25,27,425500,428500
1/1/20,2020,8,10,27000,30600
1/1/21,2021,16,17,80700,82500
1/1/22,2022,23,26,120600,126500
