year,state_abbreviation,counts,state
2008-01-01,AK,23,Alaska
2008-01-01,AL,32,Alabama
2008-01-01,AR,12,Arkansas
2008-01-01,AZ,35,Arizona
2008-01-01,CA,352,California
2008-01-01,CO,28,Colorado
2008-01-01,CT,74,Connecticut
2008-01-01,DC,31,
2008-01-01,DE,12,Delaware
2008-01-01,FL,71,Florida
2008-01-01,GA,47,Georgia
2008-01-01,GU,2,
2008-01-01,HI,29,Hawaii
2008-01-01,IA,23,Iowa
2008-01-01,ID,4,Idaho
2008-01-01,IL,238,Illinois
2008-01-01,IN,72,Indiana
2008-01-01,KS,32,Kansas
2008-01-01,KY,39,Kentucky
2008-01-01,LA,22,Louisiana
2008-01-01,MA,92,Massachusetts
2008-01-01,MD,41,Maryland
2008-01-01,ME,7,Maine
2008-01-01,MI,134,Michigan
2008-01-01,MN,73,Minnesota
2008-01-01,MO,94,Missouri
2008-01-01,MS,22,Mississippi
2008-01-01,MT,21,Montana
2008-01-01,NC,26,North Carolina
2008-01-01,ND,6,North Dakota
2008-01-01,NE,16,Nebraska
2008-01-01,NH,19,New Hampshire
2008-01-01,NJ,169,New Jersey
2008-01-01,NM,19,New Mexico
2008-01-01,NV,39,Nevada
2008-01-01,NY,447,New York
2008-01-01,OH,189,Ohio
2008-01-01,OK,27,Oklahoma
2008-01-01,OR,50,Oregon
2008-01-01,PA,189,Pennsylvania
2008-01-01,PR,44,
2008-01-01,RI,19,Rhode Island
2008-01-01,SC,17,South Carolina
2008-01-01,SD,6,South Dakota
2008-01-01,TN,30,Tennessee
2008-01-01,TX,75,Texas
2008-01-01,UT,8,Utah
2008-01-01,VA,36,Virginia
2008-01-01,VI,8,
2008-01-01,VT,4,Vermont
2008-01-01,WA,132,Washington
2008-01-01,WI,78,Wisconsin
2008-01-01,WV,16,West Virginia
2008-01-01,WY,8,Wyoming
2009-01-01,AK,17,Alaska
2009-01-01,AL,21,Alabama
2009-01-01,AR,15,Arkansas
2009-01-01,AZ,31,Arizona
2009-01-01,CA,422,California
2009-01-01,CO,26,Colorado
2009-01-01,CT,68,Connecticut
2009-01-01,DC,64,
2009-01-01,DE,10,Delaware
2009-01-01,FL,62,Florida
2009-01-01,GA,41,Georgia
2009-01-01,HI,20,Hawaii
2009-01-01,IA,28,Iowa
2009-01-01,ID,11,Idaho
2009-01-01,IL,172,Illinois
2009-01-01,IN,64,Indiana
2009-01-01,KS,19,Kansas
2009-01-01,KY,15,Kentucky
2009-01-01,LA,30,Louisiana
2009-01-01,MA,91,Massachusetts
2009-01-01,MD,54,Maryland
2009-01-01,ME,10,Maine
2009-01-01,MI,128,Michigan
2009-01-01,MN,75,Minnesota
2009-01-01,MO,61,Missouri
2009-01-01,MS,21,Mississippi
2009-01-01,MT,13,Montana
2009-01-01,NC,18,North Carolina
2009-01-01,ND,1,North Dakota
2009-01-01,NE,5,Nebraska
2009-01-01,NH,17,New Hampshire
2009-01-01,NJ,172,New Jersey
2009-01-01,NM,16,New Mexico
2009-01-01,NV,30,Nevada
2009-01-01,NY,386,New York
2009-01-01,OH,129,Ohio
2009-01-01,OK,21,Oklahoma
2009-01-01,OR,53,Oregon
2009-01-01,PA,178,Pennsylvania
2009-01-01,PR,48,
2009-01-01,RI,21,Rhode Island
2009-01-01,SC,4,South Carolina
2009-01-01,SD,3,South Dakota
2009-01-01,TN,20,Tennessee
2009-01-01,TX,62,Texas
2009-01-01,UT,8,Utah
2009-01-01,VA,52,Virginia
2009-01-01,VI,7,
2009-01-01,VT,4,Vermont
2009-01-01,WA,121,Washington
2009-01-01,WI,33,Wisconsin
2009-01-01,WV,12,West Virginia
2009-01-01,WY,7,Wyoming
2010-01-01,AK,24,Alaska
2010-01-01,AL,21,Alabama
2010-01-01,AR,12,Arkansas
2010-01-01,AZ,19,Arizona
2010-01-01,CA,386,California
2010-01-01,CO,40,Colorado
2010-01-01,CT,66,Connecticut
2010-01-01,DC,36,
2010-01-01,DE,6,Delaware
2010-01-01,FL,87,Florida
2010-01-01,GA,45,Georgia
2010-01-01,HI,27,Hawaii
2010-01-01,IA,27,Iowa
2010-01-01,ID,5,Idaho
2010-01-01,IL,196,Illinois
2010-01-01,IN,59,Indiana
2010-01-01,KS,12,Kansas
2010-01-01,KY,29,Kentucky
2010-01-01,LA,22,Louisiana
2010-01-01,MA,83,Massachusetts
2010-01-01,MD,149,Maryland
2010-01-01,ME,4,Maine
2010-01-01,MI,127,Michigan
2010-01-01,MN,68,Minnesota
2010-01-01,MO,45,Missouri
2010-01-01,MS,11,Mississippi
2010-01-01,MT,17,Montana
2010-01-01,NC,16,North Carolina
2010-01-01,ND,3,North Dakota
2010-01-01,NE,4,Nebraska
2010-01-01,NH,13,New Hampshire
2010-01-01,NJ,216,New Jersey
2010-01-01,NM,17,New Mexico
2010-01-01,NV,34,Nevada
2010-01-01,NY,379,New York
2010-01-01,OH,107,Ohio
2010-01-01,OK,21,Oklahoma
2010-01-01,OR,44,Oregon
2010-01-01,PA,225,Pennsylvania
2010-01-01,PR,39,
2010-01-01,RI,25,Rhode Island
2010-01-01,SC,6,South Carolina
2010-01-01,SD,3,South Dakota
2010-01-01,TN,24,Tennessee
2010-01-01,TX,102,Texas
2010-01-01,UT,1,Utah
2010-01-01,VA,49,Virginia
2010-01-01,VI,7,
2010-01-01,VT,7,Vermont
2010-01-01,WA,115,Washington
2010-01-01,WI,30,Wisconsin
2010-01-01,WV,15,West Virginia
2010-01-01,WY,1,Wyoming
2011-01-01,AK,17,Alaska
2011-01-01,AL,11,Alabama
2011-01-01,AR,9,Arkansas
2011-01-01,AZ,27,Arizona
2011-01-01,CA,321,California
2011-01-01,CO,22,Colorado
2011-01-01,CT,52,Connecticut
2011-01-01,DC,35,
2011-01-01,DE,12,Delaware
2011-01-01,FL,71,Florida
2011-01-01,GA,40,Georgia
2011-01-01,GU,1,
2011-01-01,HI,9,Hawaii
2011-01-01,IA,15,Iowa
2011-01-01,ID,6,Idaho
2011-01-01,IL,171,Illinois
2011-01-01,IN,50,Indiana
2011-01-01,KS,14,Kansas
2011-01-01,KY,36,Kentucky
2011-01-01,LA,18,Louisiana
2011-01-01,MA,71,Massachusetts
2011-01-01,MD,83,Maryland
2011-01-01,ME,3,Maine
2011-01-01,MI,132,Michigan
2011-01-01,MN,67,Minnesota
2011-01-01,MO,47,Missouri
2011-01-01,MS,16,Mississippi
2011-01-01,MT,16,Montana
2011-01-01,NC,19,North Carolina
2011-01-01,ND,2,North Dakota
2011-01-01,NE,3,Nebraska
2011-01-01,NH,6,New Hampshire
2011-01-01,NJ,177,New Jersey
2011-01-01,NM,10,New Mexico
2011-01-01,NV,42,Nevada
2011-01-01,NY,350,New York
2011-01-01,OH,132,Ohio
2011-01-01,OK,14,Oklahoma
2011-01-01,OR,55,Oregon
2011-01-01,PA,156,Pennsylvania
2011-01-01,PR,23,
2011-01-01,RI,14,Rhode Island
2011-01-01,SC,11,South Carolina
2011-01-01,SD,2,South Dakota
2011-01-01,TN,23,Tennessee
2011-01-01,TX,58,Texas
2011-01-01,UT,7,Utah
2011-01-01,VA,61,Virginia
2011-01-01,VI,6,
2011-01-01,WA,106,Washington
2011-01-01,WI,36,Wisconsin
2011-01-01,WV,35,West Virginia
2011-01-01,WY,4,Wyoming
2012-01-01,AK,15,Alaska
2012-01-01,AL,21,Alabama
2012-01-01,AR,4,Arkansas
2012-01-01,AZ,23,Arizona
2012-01-01,CA,311,California
2012-01-01,CO,18,Colorado
2012-01-01,CT,60,Connecticut
2012-01-01,DC,37,
2012-01-01,DE,4,Delaware
2012-01-01,FL,48,Florida
2012-01-01,GA,18,Georgia
2012-01-01,GU,1,
2012-01-01,HI,21,Hawaii
