year_tallied,state,counts
2008-01-01,Alabama,23
2008-01-01,Alaska,20
2008-01-01,Arizona,27
2008-01-01,Arkansas,7
2008-01-01,California,236
2008-01-01,Colorado,18
2008-01-01,Connecticut,61
2008-01-01,Delaware,13
2008-01-01,Florida,46
2008-01-01,Georgia,31
2008-01-01,Hawaii,19
2008-01-01,Idaho,4
2008-01-01,Illinois,145
2008-01-01,Indiana,48
2008-01-01,Iowa,20
2008-01-01,Kansas,25
2008-01-01,Kentucky,22
2008-01-01,Louisiana,14
2008-01-01,Maine,6
2008-01-01,Maryland,27
2008-01-01,Massachusetts,59
2008-01-01,Michigan,87
2008-01-01,Minnesota,44
2008-01-01,Mississippi,16
2008-01-01,Missouri,57
2008-01-01,Montana,13
2008-01-01,Nebraska,10
2008-01-01,Nevada,20
2008-01-01,New Hampshire,9
2008-01-01,New Jersey,124
2008-01-01,New Mexico,11
2008-01-01,New York,264
2008-01-01,North Carolina,14
2008-01-01,North Dakota,4
2008-01-01,Ohio,84
2008-01-01,Oklahoma,12
2008-01-01,Oregon,32
2008-01-01,Pennsylvania,114
2008-01-01,Rhode Island,16
2008-01-01,South Carolina,8
2008-01-01,South Dakota,3
2008-01-01,Tennessee,16
2008-01-01,Texas,47
2008-01-01,Utah,5
2008-01-01,Vermont,7
2008-01-01,Virginia,22
2008-01-01,Washington,91
2008-01-01,West Virginia,11
2008-01-01,Wisconsin,38
2008-01-01,Wyoming,5
2009-01-01,Alabama,12
2009-01-01,Alaska,10
2009-01-01,Arizona,12
2009-01-01,Arkansas,9
2009-01-01,California,161
2009-01-01,Colorado,12
2009-01-01,Connecticut,48
2009-01-01,Delaware,4
2009-01-01,Florida,41
2009-01-01,Georgia,26
2009-01-01,Hawaii,13
2009-01-01,Idaho,8
2009-01-01,Illinois,106
2009-01-01,Indiana,30
2009-01-01,Iowa,22
2009-01-01,Kansas,14
2009-01-01,Kentucky,14
2009-01-01,Louisiana,16
2009-01-01,Maine,4
2009-01-01,Maryland,29
2009-01-01,Massachusetts,63
2009-01-01,Michigan,63
2009-01-01,Minnesota,42
2009-01-01,Mississippi,12
2009-01-01,Missouri,33
2009-01-01,Montana,7
2009-01-01,Nebraska,5
2009-01-01,Nevada,20
2009-01-01,New Hampshire,10
2009-01-01,New Jersey,103
2009-01-01,New Mexico,9
2009-01-01,New York,249
2009-01-01,North Carolina,11
2009-01-01,North Dakota,1
2009-01-01,Ohio,70
2009-01-01,Oklahoma,8
2009-01-01,Oregon,34
2009-01-01,Pennsylvania,106
2009-01-01,Rhode Island,11
2009-01-01,South Carolina,5
2009-01-01,South Dakota,3
2009-01-01,Tennessee,13
2009-01-01,Texas,44
2009-01-01,Utah,4
2009-01-01,Vermont,2
2009-01-01,Virginia,29
2009-01-01,Washington,64
2009-01-01,West Virginia,6
2009-01-01,Wisconsin,31
2009-01-01,Wyoming,4
2010-01-01,Alabama,15
2010-01-01,Alaska,16
2010-01-01,Arizona,17
2010-01-01,Arkansas,9
2010-01-01,California,251
2010-01-01,Colorado,24
2010-01-01,Connecticut,49
2010-01-01,Delaware,7
2010-01-01,Florida,63
2010-01-01,Georgia,25
2010-01-01,Hawaii,18
2010-01-01,Idaho,2
2010-01-01,Illinois,121
2010-01-01,Indiana,33
2010-01-01,Iowa,27
2010-01-01,Kansas,11
2010-01-01,Kentucky,25
2010-01-01,Louisiana,13
2010-01-01,Maine,5
2010-01-01,Maryland,99
2010-01-01,Massachusetts,71
2010-01-01,Michigan,87
2010-01-01,Minnesota,43
2010-01-01,Mississippi,5
2010-01-01,Missouri,38
2010-01-01,Montana,10
2010-01-01,Nebraska,3
2010-01-01,Nevada,21
2010-01-01,New Hampshire,12
2010-01-01,New Jersey,139
2010-01-01,New Mexico,7
2010-01-01,New York,252
2010-01-01,North Carolina,12
2010-01-01,North Dakota,2
2010-01-01,Ohio,63
2010-01-01,Oklahoma,11
2010-01-01,Oregon,38
2010-01-01,Pennsylvania,160
2010-01-01,Rhode Island,13
2010-01-01,South Carolina,4
2010-01-01,South Dakota,3
2010-01-01,Tennessee,17
2010-01-01,Texas,65
2010-01-01,Utah,2
2010-01-01,Vermont,6
2010-01-01,Virginia,27
2010-01-01,Washington,74
2010-01-01,West Virginia,10
2010-01-01,Wisconsin,17
2010-01-01,Wyoming,2
2011-01-01,Alabama,8
2011-01-01,Alaska,9
2011-01-01,Arizona,15
2011-01-01,Arkansas,6
2011-01-01,California,199
2011-01-01,Colorado,11
2011-01-01,Connecticut,34
2011-01-01,Delaware,7
2011-01-01,Florida,57
2011-01-01,Georgia,30
2011-01-01,Hawaii,8
2011-01-01,Idaho,2
2011-01-01,Illinois,101
2011-01-01,Indiana,39
2011-01-01,Iowa,10
2011-01-01,Kansas,9
2011-01-01,Kentucky,27
2011-01-01,Louisiana,9
2011-01-01,Maine,1
2011-01-01,Maryland,37
2011-01-01,Massachusetts,47
2011-01-01,Michigan,61
2011-01-01,Minnesota,40
2011-01-01,Mississippi,9
2011-01-01,Missouri,42
2011-01-01,Montana,5
2011-01-01,Nebraska,4
2011-01-01,Nevada,26
2011-01-01,New Hampshire,3
2011-01-01,New Jersey,136
2011-01-01,New Mexico,7
2011-01-01,New York,210
