year,state,counts
2008,California,5
2008,Indiana,1
2008,Kansas,1
2008,Michigan,2
2008,Missouri,1
2008,Virginia,1
2008,Washington,1
2009,Illinois,1
2009,New York,1
2009,Pennsylvania,1
2009,Texas,1
2009,Washington,1
2010,California,4
2010,Hawaii,1
2010,Illinois,1
2010,Minnesota,1
2010,Pennsylvania,2
2010,Wisconsin,1
2011,California,5
2011,Hawaii,1
2011,Missouri,2
2011,Ohio,1
2011,Oregon,1
2011,Pennsylvania,1
2011,Washington,1
2011,Wisconsin,1
2012,California,9
2012,Illinois,3
2012,New York,1
2012,Tennessee,1
2012,Texas,1
2013,California,8
2013,Illinois,1
2013,Maryland,1
2013,Minnesota,1
2013,New York,1
2013,Texas,1
2013,Washington,1
2014,Alabama,1
2014,California,2
2014,Illinois,2
2014,Maryland,1
2014,Texas,1
2014,Washington,1
2015,California,4
2015,Michigan,1
2015,Texas,1
2015,Washington,3
2015,Wisconsin,1
2016,California,5
2016,Illinois,1
2016,Michigan,1
2016,Minnesota,3
2016,Missouri,1
2016,Pennsylvania,2
2017,California,3
2017,Illinois,1
2017,Massachusetts,1
2018,Arizona,1
2018,California,3
2018,Colorado,1
2018,Illinois,1
2018,Kentucky,1
2018,Massachusetts,1
2018,Michigan,1
2018,New Jersey,1
2018,North Carolina,1
2018,Oklahoma,1
2018,Rhode Island,1
2018,Vermont,1
2018,Washington,2
2018,West Virginia,1
2019,California,6
2019,Colorado,1
2019,Illinois,3
2019,Kentucky,1
2019,Massachusetts,1
2019,Michigan,1
2019,North Carolina,1
2019,Ohio,1
2019,Oregon,1
2019,Pennsylvania,1
2019,South Carolina,1
2019,Washington,1
2019,West Virginia,1
2020,California,1
2020,Illinois,2
2020,Maine,1
2020,Michigan,1
2020,Minnesota,1
2020,Washington,1
2021,Alabama,1
2021,California,3
2021,Illinois,1
2021,New York,4
2021,Oregon,1
2021,Pennsylvania,1
2021,Virginia,1
2021,Washington,1
2022,California,12
2022,Colorado,1
2022,Illinois,1
2022,Massachusetts,1
2022,Minnesota,2
2022,New York,2
2022,Ohio,1
2022,Washington,1
