x,state_cens,state,sector,nobs,empl,member,covered,pctmem,pctcov,state2,year,id,pctmem100,pctcov100
,11.0,Maine,Priv. Construction,143.0,25941.819266666673,698.1332083333333,1209.5066166666666,0.026911497,0.046623815,ME,2008.0,1.0,2.6911497,4.6623816
,11.0,Maine,Priv. Construction,140.0,24023.330033333346,1022.826075,1690.5121916666667,0.042576365,0.0703696,ME,2009.0,1.0,4.2576365,7.03696
,11.0,Maine,Priv. Construction,130.0,21652.83950833334,1268.0129333333334,1268.0129333333334,0.058561046,0.058561046,ME,2010.0,1.0,5.8561044,5.8561044
,11.0,Maine,Priv. Construction,140.0,25645.973541666663,1551.8184500000002,1736.1245833333332,0.060509242,0.0676958,ME,2011.0,1.0,6.0509243,6.76958
,11.0,Maine,Priv. Construction,133.0,25016.054916666668,343.6477,343.6477,0.013737086,0.013737086,ME,2012.0,1.0,1.3737086,1.3737086
,11.0,Maine,Priv. Construction,109.0,22569.492641666664,699.1414000000001,1134.9243333333334,0.030977275,0.05028577,ME,2013.0,1.0,3.0977275,5.0285773
,11.0,Maine,Priv. Construction,100.0,24255.934575000007,1253.3904916666665,1253.3904916666665,0.05167356,0.05167356,ME,2014.0,1.0,5.167356,5.167356
,11.0,Maine,Priv. Construction,56.0,18801.095608333333,1068.5033500000002,1068.5033500000002,0.05683197,0.05683197,ME,2015.0,1.0,5.683197,5.683197
,11.0,Maine,Priv. Construction,55.0,22260.3101,1036.66085,1423.0845166666666,0.04656992,0.06392923,ME,2016.0,1.0,4.656992,6.392923
,11.0,Maine,Priv. Construction,66.0,28457.491716666653,0.0,0.0,0.0,0.0,ME,2017.0,1.0,0.0,0.0
,11.0,Maine,Priv. Construction,49.0,22338.36020833333,1763.8983749999998,1763.8983749999998,0.07896275,0.07896275,ME,2018.0,1.0,7.896275,7.896275
,11.0,Maine,Priv. Construction,55.0,28270.772066666672,1028.8239166666667,1028.8239166666667,0.036391787,0.036391787,ME,2019.0,1.0,3.6391788,3.6391788
,11.0,Maine,Priv. Construction,59.0,30004.533733333337,3140.37085,3140.37085,0.10466321,0.10466321,ME,2020.0,1.0,10.466321,10.466321
,11.0,Maine,Priv. Construction,48.0,27835.761416666657,2541.0358,2541.0358,0.091286734,0.091286734,ME,2021.0,1.0,9.128674,9.128674
,11.0,Maine,Priv. Construction,40.0,25318.84240000001,0.0,0.0,0.0,0.0,ME,2022.0,1.0,0.0,0.0
,11.0,Maine,Priv. Manufacturing,344.0,61276.043825,11883.299741666664,12224.2688,0.1939306,0.19949508,ME,2008.0,2.0,19.393059,19.949509
